name,owner_name,address,postal_code,contact_phone_number,average_rating,total_rating,review_count,rating_stability,parking_lot,handle_symptom
드림이비인후과의원,김철수,대전 유성구 죽동로297번길 76,34127,042-825-5375,4.3,1002,233,1.202,0,"20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,66"
김진용이비인후과의원,김진용,대전 유성구 어은로58번길 2,34139,042-861-7755,3.4,745,219,0.891,1,"20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,66"
성세병원,신봉선,대전 유성구 온천북로33번길 21-32,34185,042-820-1234,4.9,2533,517,1.509,1,"3,50,51,52,56,57,58,59,60,61"
현대우리들의원,유미란,대전 유성구 문화원로 14,34171,0507-1354-8050,5,360,72,2.134,1,
조은이비인후과의원,조은이,대전 유성구 계룡로 114,34188,042-824-7525,4.6,2240,487,2.998,0,"20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,66"
영보당한의원,이준서,대전 유성구 농대로 11,34138,042-825-0633,4.5,9,2,1.287,0,
씨앤유내과의원,이원태,대전 유성구 죽동로297번길 68,34127,042-822-5375,3.1,1345,434,2.4,0,
한샘내과의원,한석봉,대전 유성구 유성대로 772,34171,042-822-7598,4.2,655,156,0.033,1,
연세가정의학과의원,이훈이,대전 유성구 농대로 16,34139,042-862-6625,4.9,221,45,2.364,1,
성내과의원,노진구,대전 유성구 어은로48번길 1,34139,042-861-6831,4.4,744,169,2.085,0,
